Country,"Country ISO",Region,"Region ISO",Population,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
China,CN,Zhejiang,CN-33,54426891,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Colombia,CO,,,47790000,0/0/6385539/0/142727,0/0/6393550/0/142727,0/0/6380026/0/142727,0/0/6384575/0/142727,0/0/6385172/0/142727,0/0/6385740/0/142727,0/0/6387399/0/142727,0/0/6390900/0/142727,0/0/6391876/0/142727
Comoros,KM,,,773407,0/0/9109/0/160,0/0/9109/0/160,0/0/9109/0/160,0/0/9109/0/160,0/0/9109/0/160,0/0/9109/0/160,0/0/9109/0/160,0/0/9109/0/160,0/0/9109/0/160
"Congo (Brazzaville)",CG,,,3039126,0/0/25213/0/389,0/0/25213/0/389,0/0/25213/0/389,0/0/25216/0/389,0/0/25219/0/389,0/0/25220/0/389,0/0/25226/0/389,0/0/25227/0/389,0/0/25227/0/389
"Congo (Kinshasa)",CD,,,70916439,0/0/99338/0/1468,0/0/99338/0/1468,0/0/99338/0/1468,0/0/99338/0/1468,0/0/100531/0/1470,0/0/100616/0/1470,0/0/100620/0/1470,0/0/101009/0/1474,0/0/101009/0/1474
"Cook Islands (the)",CK,,,21388,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
"Cook Islands",CK,,,21388,0/0/7203/0/2,0/0/7203/0/2,0/0/7203/0/2,0/0/7324/0/2,0/0/7326/0/2,0/0/7326/0/2,0/0/7327/0/2,0/0/7344/0/2,0/0/7345/0/2
"Costa Rica",CR,,,4516220,0/0/1230653/0/9368,0/0/1230653/0/9368,0/0/1230653/0/9368,0/0/1230653/0/9368,0/0/1230653/0/9368,0/0/1230653/0/9368,0/0/1230653/0/9368,0/0/1234701/0/9372,0/0/1234701/0/9372
"Cote d'Ivoire",CI,,,21058798,0/0/88384/0/835,0/0/88384/0/835,0/0/88384/0/835,0/0/88403/0/835,0/0/88425/0/835,0/0/88427/0/835,0/0/88430/0/835,0/0/88434/0/835,0/0/88434/0/835
Croatia,HR,,,4076246,0/0/1285460/0/18487,0/0/1309728/0/18687,0/0/1309728/0/18687,0/0/1316785/0/18751,0/0/1316914/0/18752,0/0/1317083/0/18752,0/0/1317144/0/18752,0/0/1317144/0/18752,0/0/1317144/0/18752
Cuba,CU,,,11423000,0/0/1115043/0/8530,10790799/0/1115043/0/8530,0/0/1115043/0/8530,10802015/0/1115043/0/8530,10805570/0/1113662/0/8530,0/0/1113662/0/8530,0/0/1113662/0/8530,0/0/1113662/0/8530,0/0/1113662/0/8530
Cyprus,CY,,,875899,0/0/662962/0/1364,0/0/681110/0/1365,0/0/681110/0/1365,0/0/690708/0/1367,0/0/691021/0/1442,0/0/691252/0/1445,0/0/693425/0/1450,0/0/696410/0/1451,0/0/696410/0/1451
Czechia,CZ,,,10649800,0/0/4729800/0/43225,6975637/0/4756085/0/43478,6980671/0/4758286/0/43490,6982237/0/4758954/0/43503,6982249/0/4759226/0/43503,6981983/0/4759494/0/43505,6981990/0/4760149/0/43507,6982006/0/4761348/0/43508,0/0/4761919/0/43509
Denmark,DK,,,5806081,0/0/34658/0/28,0/0/34658/0/28,0/0/34658/0/28,0/0/34658/0/28,0/0/34658/0/28,0/0/34658/0/28,0/0/34658/0/28,0/0/3435679/0/9693,0/0/3435679/0/9693
Denmark,DK,"Faroe Islands",FO-FO,51783,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/34658/0/28,0/0/34658/0/28
Denmark,DK,Greenland,GL-GL,55992,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21,0/0/11971/0/21
"Diamond Princess",,,,3711,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0,0/0/0/0/0
Djibouti,DJ,,,740528,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189,0/0/15690/0/189
